date,price,volume
2019-01-10,256,1816475
2019-01-09,253.4,2536844
2019-01-08,252.5,1992659
2019-01-07,247.9,1543582
2019-01-04,251,1499097
2019-01-03,249.25,2530786
2018-12-28,243.4,1474624
2018-12-27,235.7,2008819
2018-12-21,243.4,5466381
2018-12-20,243.4,2912335
2018-12-19,243.85,2338002
2018-12-18,246.5,2159598
2018-12-17,248.2,1787968
2018-12-14,249.9,2048665
2018-12-13,254.2,1409488
2018-12-12,256.25,1686755
2018-12-11,250.7,1857604
2018-12-10,247.25,1512862
2018-12-07,250.7,1677850
2018-12-06,247.3,2166923
2018-12-05,254.05,1338055
2018-12-04,258.8,1309955
2018-12-03,259.5,1652004
2018-11-30,259.1,3317220
2018-11-29,254.2,1529085
2018-11-28,252.4,1815392
2018-11-27,249.6,1098678
2018-11-26,250.3,1277827
2018-11-23,248.7,1003028
2018-11-22,245.5,1077237
2018-11-21,247.2,1407067
2018-11-20,247.55,1513406
2018-11-19,246.5,1664611
2018-11-16,250.3,2364733
2018-11-15,247.45,1166843
2018-11-14,248.8,1392339
2018-11-13,251.65,1638867
2018-11-12,249.55,1700412
2018-11-09,251.35,1681596
2018-11-08,249.2,1398374
2018-11-07,246.9,1322094
2018-11-06,244.3,1140289
2018-11-05,245.2,1594209
2018-11-02,242.2,1457791
2018-11-01,245.5,1812136
2018-10-31,245.1,2208263
2018-10-30,240.2,2024772
2018-10-29,234.3,1554460
2018-10-26,233.65,1842195
2018-10-25,234.15,3561610
2018-10-24,241.65,1556025
2018-10-23,243.25,1574705
2018-10-22,244.35,1898950
2018-10-19,244.95,2851864
2018-10-18,238.55,1874236
2018-10-17,236,2201145
2018-10-16,240.55,1522480
2018-10-15,235.25,1033041
2018-10-12,235.55,1210347
2018-10-11,234.75,2656562
2018-10-10,243.9,1344514
2018-10-09,243.75,1042201
2018-10-08,244.25,1056796
2018-10-05,244.5,1658974
2018-10-04,243.7,1532117
2018-10-03,243.55,1496281
2018-10-02,240.15,1404080
2018-10-01,239.15,1007633
2018-09-28,237.75,1573693
2018-09-27,237.85,1062024
2018-09-26,236.75,1458571
2018-09-25,236.15,1318360
2018-09-24,233,1328760
2018-09-21,235.15,4042096
2018-09-20,235.05,1712515
2018-09-19,236.5,1280267
2018-09-18,236.65,1232872
2018-09-17,237.05,1039777
2018-09-14,238.4,1204359
2018-09-13,239.7,1017824
2018-09-12,240,1106443
2018-09-11,237.65,1198720
2018-09-10,239.8,1196960
2018-09-07,238.2,1090555
2018-09-06,235.3,968038
2018-09-05,237.7,1073509
2018-09-04,240.6,970354
2018-09-03,242.05,834283
2018-08-31,240.8,1262207
2018-08-30,241.7,1023428
2018-08-29,242.35,978885
2018-08-28,242,1099720
2018-08-27,242.3,818830
2018-08-24,240.95,796198
2018-08-23,241.4,812031
2018-08-22,241.4,835210
2018-08-21,242.9,1201874
2018-08-20,242,1371554
2018-08-17,239.95,1175524
2018-08-16,239.2,1304500
2018-08-15,237.25,1329381
2018-08-14,239.5,1558495
2018-08-13,238.15,1184953
2018-08-10,238.6,1474262
2018-08-09,240.5,1208565
2018-08-08,242.35,1932059
2018-08-07,245.05,1059884
2018-08-06,243.9,1137484
2018-08-03,244.8,1568348
2018-08-02,245.9,2091635
2018-07-31,243.05,1473751
2018-07-30,242.45,946543
2018-07-27,243.5,1612651
2018-07-26,241.9,3766724
2018-07-25,238.3,2040545
2018-07-24,234.3,1589588
2018-07-23,233.25,929670
2018-07-20,234,1989103
2018-07-19,231.95,1719272
2018-07-18,234.75,1512854
2018-07-17,232,1472421
2018-07-16,232.25,1099724
2018-07-13,232.7,1848349
2018-07-12,230.45,2268073
2018-07-11,223.3,1544785
2018-07-10,225.1,1531811
2018-07-09,225.2,1182560
2018-07-06,223.9,1156306
2018-07-05,223.7,1099802
2018-07-04,224.15,948544
2018-07-03,222.1,1494066
2018-07-02,219,1604088
2018-06-29,220.55,2196640
2018-06-28,217.2,1542767
2018-06-27,218.55,1679161
2018-06-26,217.5,1753081
2018-06-25,217.3,1759678
2018-06-22,219.85,1779137
2018-06-21,215.5,1915599
2018-06-20,216.45,2539216
2018-06-19,211.05,2602709
2018-06-18,210,1665493
2018-06-15,211.85,5853936
2018-06-14,211.3,1573889
2018-06-13,209.5,1912814
2018-06-12,209.75,1468074
2018-06-11,209.65,1123848
2018-06-08,207.7,1666760
2018-06-07,210,1106333
2018-06-06,209.85,1499123
2018-06-05,210.2,2545059
2018-06-04,214.2,1648793
2018-06-01,215.95,1634415
2018-05-31,211.05,2513700
2018-05-30,214,1593970
2018-05-29,216.15,1547104
2018-05-28,217.5,887732
2018-05-25,217.6,1817357
2018-05-24,219,1220829
2018-05-23,219.25,2068091
2018-05-22,223.9,1463836
2018-05-18,224.55,1705087
2018-05-17,224,1583785
2018-05-16,226.2,1899565
2018-05-15,225.7,1353422
2018-05-14,224.8,1595305
2018-05-11,222.15,1913754
2018-05-09,226,1089995
2018-05-08,225.7,1143061
2018-05-07,227.85,1165975
2018-05-04,225.8,1232109
2018-05-03,224.95,2231064
2018-05-02,223.65,2743808
2018-04-30,220.85,1376765
2018-04-27,218.55,1261331
